Report_ID,Report_Name,Report_Category,Reporting_Period,Deadline,Submission_Date,Status,Responsible_Team,Stakeholder,Error_Count,Manual_Interventions,Processing_Time_Hours,Stakeholder_Satisfaction,Report_Complexity
RPT-0081,Net Stable Funding Ratio (NSFR) - 2024-Q3,Net Stable Funding Ratio (NSFR),2024-Q3,2024-10-30,2024-10-30,On Time,Regulatory Reporting - Liquidity,DNB,2,9,87.0,4,High
RPT-0082,COREP - Own Funds - 2025-Q1,COREP - Own Funds,2025-Q1,2025-04-30,2025-04-26,On Time,Regulatory Reporting - Capital,DNB,0,4,9.0,5,Medium
RPT-0083,FINREP - Financial Reporting - 2024-Q1,FINREP - Financial Reporting,2024-Q1,2024-04-30,2024-04-25,On Time,Regulatory Reporting - Capital,ECB,3,3,39.2,4,Medium
RPT-0084,Credit Risk RWA Report - 2024-M09,Credit Risk RWA Report,2024-M09,2024-10-15,2024-10-20,Late,Credit Risk Reporting,Internal Risk Committee,0,0,15.8,4,Low
RPT-0085,DNB Statistical Report - 2024-M10,DNB Statistical Report,2024-M10,2024-11-15,2024-11-12,On Time,Statistical Reporting,DNB,2,3,43.7,4,Medium
RPT-0086,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-02-03,Late,Regulatory Reporting - Capital,DNB,1,1,37.4,4,Medium
RPT-0087,Basel III Leverage Ratio - 2024-Q2,Basel III Leverage Ratio,2024-Q2,2024-07-30,2024-08-09,Missed,Regulatory Reporting - Capital,ECB,5,6,94.6,2,High
RPT-0088,AML/KYC Periodic Review - 2025-Q1,AML/KYC Periodic Review,2025-Q1,2025-04-30,2025-05-04,Late,AML & Compliance Reporting,Internal Compliance Committee,1,9,79.7,3,High
RPT-0089,AML/KYC Periodic Review - 2025-Q1,AML/KYC Periodic Review,2025-Q1,2025-04-30,2025-05-04,Late,AML & Compliance Reporting,Internal Compliance Committee,4,4,89.4,3,High
RPT-0090,Large Exposures Report - 2025-Q1,Large Exposures Report,2025-Q1,2025-04-30,2025-04-28,On Time,Credit Risk Reporting,ECB,4,7,47.4,4,High
RPT-0091,Net Stable Funding Ratio (NSFR) - 2024-Q1,Net Stable Funding Ratio (NSFR),2024-Q1,2024-04-30,2024-04-29,On Time,Regulatory Reporting - Liquidity,DNB,2,3,41.2,5,Medium
RPT-0092,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-05-01,Late,Regulatory Reporting - Capital,ECB,0,2,32.3,4,Medium
RPT-0093,Large Exposures Report - 2024-Q1,Large Exposures Report,2024-Q1,2024-04-30,2024-05-03,Late,Credit Risk Reporting,ECB,1,3,74.7,3,High
RPT-0094,FINREP - Financial Reporting - 2024-Q3,FINREP - Financial Reporting,2024-Q3,2024-10-30,2024-10-30,On Time,Regulatory Reporting - Capital,ECB,0,0,34.2,5,Medium
RPT-0095,Large Exposures Report - 2025-Q3,Large Exposures Report,2025-Q3,2025-10-30,2025-10-29,On Time,Credit Risk Reporting,ECB,2,1,23.0,4,Medium
RPT-0096,FINREP - Financial Reporting - 2025-Q2,FINREP - Financial Reporting,2025-Q2,2025-07-30,2025-07-30,On Time,Regulatory Reporting - Capital,ECB,5,8,53.3,3,High
RPT-0097,DNB Statistical Report - 2025-M06,DNB Statistical Report,2025-M06,2025-07-15,2025-07-15,On Time,Statistical Reporting,DNB,3,1,25.3,4,Medium
RPT-0098,Net Stable Funding Ratio (NSFR) - 2025-Q2,Net Stable Funding Ratio (NSFR),2025-Q2,2025-07-30,2025-07-24,On Time,Regulatory Reporting - Liquidity,DNB,1,2,16.6,4,Medium
RPT-0099,Net Stable Funding Ratio (NSFR) - 2024-Q4,Net Stable Funding Ratio (NSFR),2024-Q4,2025-01-30,2025-01-26,On Time,Regulatory Reporting - Liquidity,DNB,4,2,15.7,4,Low
RPT-0100,Liquidity Coverage Ratio (LCR) - 2024-M04,Liquidity Coverage Ratio (LCR),2024-M04,2024-05-15,2024-05-13,On Time,Regulatory Reporting - Liquidity,DNB,0,3,33.9,5,Medium
RPT-0101,Credit Risk RWA Report - 2025-M03,Credit Risk RWA Report,2025-M03,2025-04-15,2025-04-15,On Time,Credit Risk Reporting,Internal Risk Committee,5,6,29.1,3,Medium
RPT-0102,FINREP - Financial Reporting - 2025-Q3,FINREP - Financial Reporting,2025-Q3,2025-10-30,2025-11-02,Late,Regulatory Reporting - Capital,ECB,5,5,34.9,3,Medium
RPT-0103,Net Stable Funding Ratio (NSFR) - 2025-Q1,Net Stable Funding Ratio (NSFR),2025-Q1,2025-04-30,2025-05-04,Late,Regulatory Reporting - Liquidity,DNB,4,8,88.6,3,High
RPT-0104,FINREP - Financial Reporting - 2024-Q3,FINREP - Financial Reporting,2024-Q3,2024-10-30,2024-11-01,Late,Regulatory Reporting - Capital,ECB,2,3,25.6,4,Medium
RPT-0105,Credit Risk RWA Report - 2025-M02,Credit Risk RWA Report,2025-M02,2025-03-15,2025-03-14,On Time,Credit Risk Reporting,Internal Risk Committee,0,0,8.8,4,Low
RPT-0106,Net Stable Funding Ratio (NSFR) - 2024-Q4,Net Stable Funding Ratio (NSFR),2024-Q4,2025-01-30,2025-02-03,Late,Regulatory Reporting - Liquidity,DNB,1,1,37.6,4,Medium
RPT-0107,Liquidity Coverage Ratio (LCR) - 2024-M03,Liquidity Coverage Ratio (LCR),2024-M03,2024-04-15,2024-04-09,On Time,Regulatory Reporting - Liquidity,DNB,1,2,2.5,4,Low
RPT-0108,AML/KYC Periodic Review - 2025-Q3,AML/KYC Periodic Review,2025-Q3,2025-10-30,2025-11-02,Late,AML & Compliance Reporting,Internal Compliance Committee,1,6,22.1,4,Medium
RPT-0109,AnaCredit Report - 2024-M06,AnaCredit Report,2024-M06,2024-07-15,2024-07-16,Late,Credit Risk Reporting,DNB,0,2,40.5,4,Medium
RPT-0110,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-08-01,Late,Regulatory Reporting - Liquidity,DNB,7,9,76.3,2,High
RPT-0111,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-07-30,On Time,Regulatory Reporting - Liquidity,DNB,0,4,24.4,4,Medium
RPT-0112,Basel III Leverage Ratio - 2025-Q1,Basel III Leverage Ratio,2025-Q1,2025-04-30,2025-04-28,On Time,Regulatory Reporting - Capital,ECB,0,0,19.4,5,Medium
RPT-0113,Credit Risk RWA Report - 2025-M01,Credit Risk RWA Report,2025-M01,2025-02-15,2025-02-13,On Time,Credit Risk Reporting,Internal Risk Committee,0,0,104.8,4,High
RPT-0114,Net Stable Funding Ratio (NSFR) - 2025-Q1,Net Stable Funding Ratio (NSFR),2025-Q1,2025-04-30,2025-04-29,On Time,Regulatory Reporting - Liquidity,DNB,2,3,79.9,4,High
RPT-0115,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Capital,DNB,3,8,83.2,4,High
RPT-0116,AML/KYC Periodic Review - 2025-Q1,AML/KYC Periodic Review,2025-Q1,2025-04-30,2025-04-29,On Time,AML & Compliance Reporting,Internal Compliance Committee,2,2,49.7,4,High
RPT-0117,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-01-31,Late,Regulatory Reporting - Capital,DNB,4,9,74.7,3,High
RPT-0118,Liquidity Coverage Ratio (LCR) - 2024-M08,Liquidity Coverage Ratio (LCR),2024-M08,2024-09-15,2024-09-14,On Time,Regulatory Reporting - Liquidity,DNB,1,4,34.5,5,Medium
RPT-0119,DNB Statistical Report - 2025-M01,DNB Statistical Report,2025-M01,2025-02-15,2025-02-14,On Time,Statistical Reporting,DNB,0,0,19.8,4,Low
RPT-0120,Large Exposures Report - 2024-Q4,Large Exposures Report,2024-Q4,2025-01-30,2025-02-01,Late,Credit Risk Reporting,ECB,0,2,39.7,4,Medium
RPT-0121,Liquidity Coverage Ratio (LCR) - 2024-M06,Liquidity Coverage Ratio (LCR),2024-M06,2024-07-15,2024-07-13,On Time,Regulatory Reporting - Liquidity,DNB,1,0,13.8,4,Low
RPT-0122,Credit Risk RWA Report - 2025-M06,Credit Risk RWA Report,2025-M06,2025-07-15,2025-07-14,On Time,Credit Risk Reporting,Internal Risk Committee,2,2,20.9,4,Medium
RPT-0123,COREP - Own Funds - 2024-Q3,COREP - Own Funds,2024-Q3,2024-10-30,2024-10-29,On Time,Regulatory Reporting - Capital,DNB,4,6,68.2,3,High
RPT-0124,COREP - Own Funds - 2025-Q2,COREP - Own Funds,2025-Q2,2025-07-30,2025-08-02,Late,Regulatory Reporting - Capital,DNB,2,6,63.4,4,High
RPT-0125,DNB Statistical Report - 2025-M07,DNB Statistical Report,2025-M07,2025-08-15,2025-08-13,On Time,Statistical Reporting,DNB,0,1,12.9,5,Low
RPT-0126,Basel III Leverage Ratio - 2024-Q4,Basel III Leverage Ratio,2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Capital,ECB,0,1,15.1,5,Low
RPT-0127,FINREP - Financial Reporting - 2024-Q1,FINREP - Financial Reporting,2024-Q1,2024-04-30,2024-04-30,On Time,Regulatory Reporting - Capital,ECB,3,2,37.3,4,Medium
RPT-0128,Large Exposures Report - 2024-Q2,Large Exposures Report,2024-Q2,2024-07-30,2024-07-24,On Time,Credit Risk Reporting,ECB,0,5,35.0,5,Medium
RPT-0129,AML/KYC Periodic Review - 2024-Q4,AML/KYC Periodic Review,2024-Q4,2025-01-30,2025-01-29,On Time,AML & Compliance Reporting,Internal Compliance Committee,1,1,48.8,5,Medium
RPT-0130,AnaCredit Report - 2025-M07,AnaCredit Report,2025-M07,2025-08-15,2025-08-11,On Time,Credit Risk Reporting,DNB,3,1,18.7,4,Medium
RPT-0131,Liquidity Coverage Ratio (LCR) - 2024-M01,Liquidity Coverage Ratio (LCR),2024-M01,2024-02-15,2024-02-16,Late,Regulatory Reporting - Liquidity,DNB,2,3,16.3,4,Low
RPT-0132,Net Stable Funding Ratio (NSFR) - 2024-Q1,Net Stable Funding Ratio (NSFR),2024-Q1,2024-04-30,2024-05-04,Late,Regulatory Reporting - Liquidity,DNB,4,9,57.0,3,High
RPT-0133,DNB Statistical Report - 2024-M04,DNB Statistical Report,2024-M04,2024-05-15,2024-05-13,On Time,Statistical Reporting,DNB,0,0,17.4,4,Low
RPT-0134,Net Stable Funding Ratio (NSFR) - 2024-Q4,Net Stable Funding Ratio (NSFR),2024-Q4,2025-01-30,2025-01-29,On Time,Regulatory Reporting - Liquidity,DNB,1,2,105.8,4,High
RPT-0135,Liquidity Coverage Ratio (LCR) - 2024-M10,Liquidity Coverage Ratio (LCR),2024-M10,2024-11-15,2024-11-14,On Time,Regulatory Reporting - Liquidity,DNB,1,4,63.1,4,High
RPT-0136,AnaCredit Report - 2025-M03,AnaCredit Report,2025-M03,2025-04-15,2025-04-15,On Time,Credit Risk Reporting,DNB,4,8,67.0,4,High
RPT-0137,COREP - Own Funds - 2025-Q2,COREP - Own Funds,2025-Q2,2025-07-30,2025-08-01,Late,Regulatory Reporting - Capital,DNB,5,5,77.8,3,High
RPT-0138,AnaCredit Report - 2024-M10,AnaCredit Report,2024-M10,2024-11-15,2024-11-21,Missed,Credit Risk Reporting,DNB,2,6,96.9,3,High
RPT-0139,AnaCredit Report - 2024-M02,AnaCredit Report,2024-M02,2024-03-15,2024-03-16,Late,Credit Risk Reporting,DNB,1,1,13.0,4,Low
RPT-0140,Credit Risk RWA Report - 2024-M12,Credit Risk RWA Report,2024-M12,2025-01-15,2025-01-14,On Time,Credit Risk Reporting,Internal Risk Committee,3,6,23.5,4,Medium
RPT-0141,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-05-01,Late,Regulatory Reporting - Capital,ECB,5,7,102.3,3,High
RPT-0142,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-02-03,Late,Regulatory Reporting - Capital,DNB,4,9,51.3,3,High
RPT-0143,COREP - Own Funds - 2025-Q1,COREP - Own Funds,2025-Q1,2025-04-30,2025-05-03,Late,Regulatory Reporting - Capital,DNB,2,7,100.7,4,High
